Country,Assembly,C,Csharp,Cplusplus,CoffeeScript,Common_Lisp,Elixir,Erlang,Groovy,Haskell,Hack,Java,JavaScript,MatLab,NA,ObjectiveC,PHP,Perl,Python,R,Rust,SQL,Swift,TypeScript,VBNET,VisualBasic6,VBA
Afghanistan,5,12,5,5,0,2,8,0,2,0,2,4,7,0,46,2,4,0,2,8,1,5,1,1,3,4,0
Aland Island,1,6,1,2,2,1,1,2,2,1,2,4,2,1,16,1,2,1,1,4,1,2,2,4,4,1,3
Albania,2,37,15,11,3,0,0,0,0,0,0,26,1,38,2,20,0,5,28,0,26,1,0,1,1,0,
Algeria,2,16,4,6,1,0,0,2,0,0,0,13,9,3,23,0,4,1,5,10,0,7,0,1,0,2,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Angola,1,0,1,0,0,1,1,0,0,0,0,0,1,0,8,0,1,0,0,0,0,1,0,0,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Antartica,1,7,2,2,0,1,1,0,0,1,0,6,6,0,3,1,1,0,4,7,1,3,0,0,0,0,0
Antigua and Barbuda,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0
Argentina,6,143,51,24,4,0,5,1,7,3,1,136,121,4,88,4,54,3,39,124,0,91,4,12,8,9,4
Armenia,1,26,7,8,0,0,0,1,0,0,0,22,18,0,20,6,10,2,6,20,0,13,5,4,0,1,1
Aruba,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Austalia,28,624,298,126,27,4,11,1,23,13,2,295,476,20,196,45,177,31,211,535,12,384,58,91,47,18,37
Austria,21,324,298,96,8,2,3,2,17,9,0,295,224,29,113,20,115,16,83,252,3,207,17,47,11,4,21
Azerbaidjan,3,10,8,3,0,1,0,0,0,0,0,8,6,0,13,1,9,1,4,9,1,9,2,1,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,5,2,0,0,0,0,0,0,0,0,5,5,0,7,0,3,0,0,5,0,3,1,0,1,0,0
Bangladesh,10,96,28,25,1,0,0,0,2,0,1,100,73,6,70,6,63,1,27,74,0,54,6,8,6,5,1
Barbados,0,1,2,1,0,0,0,0,0,0,0,1,2,0,1,1,2,2,0,0,0,1,1,8,1,0,0
Belarus,1,44,14,12,2,0,1,1,1,1,0,43,32,0,36,2,9,2,13,37,2,16,2,4,1,1,1
Belgium,14,271,131,52,10,1,4,2,13,6,0,245,211,17,94,17,99,9,85,229,4,165,20,41,31,7,18
Belize,0,2,0,2,0,0,0,0,0,0,0,3,3,0,1,0,2,0,1,1,0,2,0,0,1,0,0
Benin,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
Bolivia,1,15,7,3,1,0,1,0,1,0,0,13,10,0,8,3,9,0,3,12,0,9,3,1,3,3,2
Bosnia-Herzegovina,3,40,23,13,4,0,1,0,0,0,0,40,31,0,21,1,22,0,8,32,1,30,1,12,5,0,3
Botswana,0,0,1,0,0,0,0,0,0,0,0,2,2,1,3,0,2,0,1,0,0,1,2,1,0,0,0
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,28,470,173,111,19,2,7,3,21,7,0,436,361,20,232,30,161,15,164,399,5,267,27,41,32,18,20
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,9,167,68,38,4,0,3,1,3,3,0,157,126,4,66,13,54,5,36,131,1,98,5,20,10,6,6
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,7,1,1,0,0,0,0,0,0,0,7,6,0,12,2,3,0,0,6,0,3,1,1,4,1,4
Cameroon,1,7,2,3,0,0,0,0,0,1,0,7,5,1,3,0,4,0,1,5,0,5,0,2,1,0,1
Canada,86,1503,647,407,70,9,16,10,63,29,3,1287,1104,59,546,114,424,93,620,1233,21,872,130,176,135,52,96
Cape Verde,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Cayman Islands,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,1,67,20,11,3,0,1,0,3,1,0,60,47,2,30,2,29,4,34,56,0,45,10,2,6,4,4
Chiina,11,126,29,48,5,2,0,1,2,4,0,106,78,14,96,8,25,1,51,83,1,53,7,8,0,1,4
Colombia,2,90,33,12,5,1,2,1,6,4,1,88,79,6,46,10,31,1,22,87,1,46,9,16,6,2,2
Comoros,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Costa Rica,3,39,18,9,2,1,0,0,1,0,0,37,33,3,11,4,13,2,19,37,0,28,5,9,7,0,0
Croatia,6,106,48,28,2,1,2,2,4,2,0,102,82,3,45,9,37,1,40,88,3,60,10,10,2,4,4
Cuba,1,21,7,5,0,1,0,0,0,1,0,17,16,1,10,1,10,0,7,16,0,8,2,0,0,0,0
Cyprus,0,17,7,4,1,0,0,0,0,0,0,13,13,0,10,3,11,0,3,13,0,12,2,2,0,1,1
Czech Republic,14,258,116,87,9,1,1,1,13,6,3,210,155,16,106,13,82,17,95,183,6,147,15,26,9,3,11
Denmark,4,196,114,38,6,1,3,1,2,4,1,164,147,10,78,12,58,8,62,166,1,119,17,36,3,1,11
Djibouti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,44,29,8,1,0,0,0,1,0,0,39,34,1,19,0,12,1,11,37,0,27,4,11,5,2,1
Ecuador,0,15,4,3,1,0,0,0,0,3,0,15,11,2,15,2,7,0,8,13,0,8,2,2,0,0,0
Egypt,4,71,28,20,2,0,0,0,1,0,0,65,52,8,51,8,36,0,27,55,1,39,6,4,8,3,0
El Savador,0,12,4,1,0,0,0,0,0,0,0,12,10,0,7,0,6,0,7,10,0,10,0,0,2,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
